Time,Open,High,Low,Last,Change,%Chg,Volume
06/18/2021,37756.15,38153.31,35210.36,35491.5,-2264.65,-6.00%,0
06/17/2021,38521.27,39511.23,37492.8,37756.15,-765.13,-1.99%,0
06/16/2021,39946.87,40478.46,38360.83,38521.28,-1425.58,-3.57%,0
06/15/2021,39801.67,41312.99,39637.19,39946.86,145.33,+0.37%,0
06/14/2021,37128.76,40939.3,34700.58,39801.53,2612.95,+7.03%,0
06/11/2021,36417.42,37548.62,35989.15,37188.58,773.39,+2.12%,0
06/10/2021,36382.85,38366.96,35817.68,36415.19,32.33,+0.09%,0
06/09/2021,33599.69,36792.27,32468.86,36382.86,2782.46,+8.28%,0
06/08/2021,34550.28,34558.52,31190.86,33600.4,-949.88,-2.75%,0
06/07/2021,37051.57,37874.14,34280.68,34550.28,-2475.95,-6.69%,940815808
06/04/2021,38673.7,39261.11,35718.35,37026.23,-1646.96,-4.26%,0
06/03/2021,37722.85,39471.02,37228.49,38673.19,950.34,+2.52%,0
06/02/2021,36265.65,38181.73,36009.13,37722.85,1457.2,+4.02%,0
06/01/2021,36651.74,37856.13,35749.95,36265.65,-386.09,-1.05%,0
05/31/2021,35255.96,37449.8,33502.6,36651.74,1397.62,+3.96%,0
05/28/2021,38441.68,39132.83,35184.48,35254.12,-3184.61,-8.28%,0
05/27/2021,38672.51,40290.55,37182.3,38438.73,-230.57,-0.60%,0
05/26/2021,37609.06,40736.68,37481.02,38669.3,1060.24,+2.82%,0
05/25/2021,38919.12,39737.16,36592.48,37609.06,-1299.72,-3.34%,0
05/24/2021,35212.9,39792.13,31193.38,38908.78,3705.37,+10.53%,0
05/21/2021,40012.2,41970.26,35203.41,35203.41,-4804.54,-12.01%,0
05/20/2021,38266.11,42342.15,35197.38,40007.95,1741.98,+4.55%,0
05/19/2021,43252.54,43509.81,29830.93,38265.97,-4986.61,-11.53%,0
05/18/2021,44742.51,45737.18,42485.37,43252.58,-1489.68,-3.33%,0
05/17/2021,49202.04,50638.76,42138.48,44742.26,-4474.64,-9.09%,0
05/14/2021,49157.69,51366.72,48553.71,49216.9,60.26,+0.12%,0
05/13/2021,54404.95,54707.84,45942.99,49156.64,-5248.61,-9.65%,0
05/12/2021,56818,57914.12,53693.67,54405.25,-2412.75,-4.25%,0
05/11/2021,55196.72,56818,54563.44,56818,1621.29,+2.94%,0
05/10/2021,57600.18,59501.34,54274.97,55196.71,-2403.47,-4.17%,0
05/07/2021,55914.7,58626.51,55312.54,57600.18,1685.48,+3.01%,0
05/06/2021,56871.21,58352.7,55377.16,55914.7,-956.51,-1.68%,0
05/05/2021,54782.85,57830.92,53072.66,56871.21,2088.36,+3.81%,0
05/04/2021,56805.31,57444.67,53397.27,54782.85,-2022.46,-3.56%,0
05/03/2021,56778.95,58930.12,56111.73,56805.31,26.36,+0.05%,0
04/30/2021,53004.94,57245.48,52854.84,56778.95,3774.01,+7.12%,0
04/29/2021,54383.94,55111.01,52393.83,53004.94,-1379,-2.54%,0
04/28/2021,55119.1,56367.65,53876.95,54383.94,-735.16,-1.33%,0
04/27/2021,53235.01,55227.74,52636.69,55119.1,1884.09,+3.54%,0
04/26/2021,50535.36,54293.33,47190.8,53235.01,2699.65,+5.34%,0
04/23/2021,51781.45,52165.51,47751.84,50535.36,-592.41,-1.16%,0
04/22/2021,54996.4,55446.02,51127.77,51127.77,-3868.63,-7.03%,0
04/21/2021,56729.57,57003.48,54366.81,54996.4,-1733.17,-3.06%,0
04/20/2021,56106.24,56991.03,53477.98,56729.57,623.33,+1.11%,0
04/19/2021,61902.46,62498.65,51187.44,56106.24,-5796.22,-9.36%,0
04/16/2021,63360.71,63734.85,60115.99,61902.46,-1456.22,-2.30%,0
04/15/2021,62357.48,63551.9,62096.81,63358.68,1001.2,+1.61%,0
04/14/2021,63166.23,64749.43,61442.49,62357.48,-808.75,-1.28%,0
04/13/2021,60059.07,63692.07,59806.87,63166.23,3107.16,+5.17%,0
04/12/2021,58346.22,61220.1,57934.57,60059.07,1712.85,+2.94%,0
04/09/2021,57667.93,58896.83,57460.72,58346.22,678.36,+1.18%,930193984
04/08/2021,56178.24,58100.01,55738.6,57667.86,1499.22,+2.67%,0
04/07/2021,58219.13,58655.51,55537.95,56168.64,-2050.96,-3.52%,0
"Downloaded from Barchart.com as of 04-01-2023 02:41am CDT"
